"Distance [mm]","Mag_B [mTesla]"
0,0.0518787830189771
0.0212136,318.247354806656
0.0424272,314.536770902328
0.0636408,310.878023878585
0.0848544,307.270451357868
0.106068,303.713406367081
0.1272816,300.206257337557
0.1484952,296.748388105106
0.1697088,293.339197909979
0.1909224,289.978101396874
0.212136,286.664528614948
0.2333496,283.397925017821
0.2545632,280.17775146354
0.2757768,277.00348421463
0.2969904,274.100507847379
0.318204,272.19390155833
0.3394176,270.3035158074
0.3606312,268.429327971218
0.3818448,266.571315635701
0.4030584,264.729456596077
0.424272,262.903728856874
0.4454856,261.094110631915
0.4666992,259.300580344323
0.4879128,257.523116626537
0.5091264,255.76169832028
0.53034,254.016304476584
0.5515536,252.286914355784
0.5727672,250.57350742751
0.5939808,248.876063370691
0.6151944,247.194562073569
0.636408,245.528983633677
0.6576216,243.879308357853
0.6788352,242.245516762234
0.7000488,240.627589572261
0.7212624,239.025507722669
0.742476,237.439252357499
0.7636896,235.868804830098
0.7849032,234.314146703105
0.8061168,232.775259748466
0.8273304,231.252125947427
0.848544,229.74472749053
0.8697576,228.253046777621
0.8909712,226.777066417853
0.9121848,225.316769229673
0.9333984,223.87213824083
0.954612,222.443156688377
0.9758256,221.029808018665
0.9970392,219.632075887343
1.0182528,218.249944159372
1.0394664,216.883396909001
1.06068,215.53241841979
1.0818936,214.196993184595
1.1031072,212.877105905575
1.1243208,211.572741494183
1.1455344,210.283885071188
1.166748,209.010521966645
1.1879616,207.752637719919
1.2091752,206.510218079673
1.2303888,205.28324900387
1.2516024,204.071716659773
1.272816,202.875607423953
1.2940296,201.694907882273
1.3152432,200.529604829904
1.3364568,199.379685271316
1.3576704,198.245136420276
1.378884,197.125945699856
1.4000976,196.022100742428
1.4213112,194.933589389666
1.4425248,193.860399692544
1.4637384,192.80251991134
1.484952,191.759938515626
1.5061656,190.732644184283
1.5273792,189.720625805485
1.5485928,188.723872476713
1.5698064,187.742373504749
1.59102,186.776118405675
1.6122336,185.825096904871
1.6334472,184.889298937021
1.6546608,183.968714646108
1.6758744,183.063334385418
1.697088,182.173148717541
1.7183016,181.298148414361
1.7395152,180.438324457067
1.7607288,179.593668036149
1.7819424,178.764170551395
1.803156,177.949823611897
1.8243696,177.150619036052
1.8455832,176.366548851549
1.8667968,175.597605295386
1.8880104,174.843780813855
1.909224,174.105068062553
1.9304376,173.381459906376
1.9516512,172.672949419529
1.9728648,171.979529885506
1.9940784,171.301194797109
2.015292,170.637937856441
2.0365056,169.989752974901
2.0577192,169.356634273193
2.0789328,168.738576081327
2.1001464,168.135572938604
2.12136,167.547619593632
2.1425736,166.974711004318
2.1637872,166.416842337872
2.1850008,165.874008970798
2.2062144,165.346206488916
2.227428,164.833430687332
2.2486416,164.335677570461
2.2698552,163.852943352013
2.2910688,163.385224455008
2.3122824,162.932517511756
2.333496,162.494819363876
2.3547096,162.072127062289
2.3759232,161.664437867211
2.3971368,161.271749248162
2.4183504,160.894058883964
2.439564,160.531364662737
2.4607776,160.1836646819
2.4819912,159.850957248186
2.5032048,159.533240877615
2.5244184,159.230514295512
2.545632,158.942776436506
2.5668456,158.670026444525
2.5880592,158.412263672791
2.6092728,158.169487683845
2.6304864,157.941698249512
2.6517,157.728895350924
2.6729136,157.372993670952
2.6941272,157.018366951252
2.7153408,156.665015014345
2.7365544,156.312937684595
2.757768,155.962134788155
2.7789816,155.612606153001
2.8001952,155.264351608927
2.8214088,154.917370987542
2.8426224,154.57166412226
2.863836,154.227230848333
2.8850496,153.884071002807
2.9062632,153.542184424549
2.9274768,153.201570954246
2.9486904,152.862230434396
2.969904,152.52416270931
2.9911176,152.18736762512
3.0123312,151.851845029774
3.0335448,151.517594773027
3.0547584,151.184616706456
3.075972,150.852910683453
3.0971856,150.522476559214
3.1183992,150.193314190772
3.1396128,149.865423436961
3.1608264,149.53880415843
3.18204,149.213456217642
3.2032536,148.889379478885
3.2244672,148.566573808249
3.2456808,148.245039073649
3.2668944,147.924775144817
3.288108,147.605781893292
3.3093216,147.288059192431
3.3305352,146.971606917408
3.3517488,146.656424945213
3.3729624,146.342513154641
3.394176,146.029871426323
3.4153896,145.718499642689
3.4366032,145.408397687985
3.4578168,145.099565448277
3.4790304,144.792002811448
3.500244,144.485709667184
3.5214576,144.180685907003
3.5426712,143.876931424231
3.5638848,143.574446114005
3.5850984,143.273229873282
3.606312,142.973282600834
3.6275256,142.674604197242
3.6487392,142.377194564917
3.6699528,142.08105360807
3.6911664,141.786181232733
3.71238,141.492577346754
3.7335936,141.200241859798
3.7548072,140.909174683335
3.7760208,140.619375730663
3.7972344,140.330844916896
3.818448,140.043582158948
3.8396616,139.757587375562
3.8608752,139.472860487293
3.8820888,139.189401416504
3.9033024,138.907210087383
3.924516,138.626286425935
3.9457296,138.346630359968
3.9669432,138.068241819113
3.9881568,137.791120734818
4.0093704,137.515267040338
4.030584,137.240680670752
4.0517976,136.967361562956
4.0730112,136.695309655648
4.0942248,136.424524889354
4.1154384,136.15500720641
4.136652,135.886756550963
4.1578656,135.619772868986
4.1790792,135.354056108261
4.2002928,135.089606218385
4.2215064,134.826423150769
4.24272,134.564506858641
4.2639336,134.303857297044
4.2851472,134.04447442284
4.3063608,133.786358194697
4.3275744,133.529508573112
4.348788,133.273925520382
