"Distance [mm]","Mag_B [mTesla]"
0,0.0407256236607193
0.0259811,334.471672037333
0.0519622,331.899159498696
0.0779433,329.369783525258
0.1039244,326.882567807053
0.1299055,324.436550202109
0.1558866,322.030782736413
0.1818677,319.664331603963
0.2078488,317.336277166729
0.2338299,315.045713954655
0.259811,312.791750665683
0.2857921,310.573510165745
0.3117732,308.390129488732
0.3377543,306.240759836549
0.3637354,304.124566579066
0.3897165,302.040729254143
0.4156976,299.988441567618
0.4416787,297.966911393328
0.4676598,295.975360773078
0.4936409,294.013025916669
0.519622,292.079157201881
0.5456031,290.173019174478
0.5715842,288.293890548201
0.5975653,286.441064204797
0.6235464,284.613847193972
0.6495275,282.811560733434
0.6755086,281.033540208869
0.7014897,279.279135173944
0.7274708,277.547709350312
0.7534519,275.838640627609
0.779433,274.151321063465
0.8054141,272.485156883484
0.8313952,270.839568481255
0.8573763,269.213990418358
0.8833574,267.607871424346
0.9093385,266.02067439676
0.9353196,264.451876401138
0.9613007,262.900968670985
0.9872818,261.3674566078
1.0132629,259.850859781064
1.039244,258.350711928239
1.0652251,256.86656095477
1.0912062,255.397968934098
1.1171873,253.944512107637
1.1431684,252.505780884787
1.1691495,251.081379842937
1.1951306,249.670927727454
1.2211117,248.274057451688
1.2470928,246.890416096987
1.2730739,245.519664912663
1.299055,244.161479316031
1.3250361,242.815548892379
1.3510172,241.481577394982
1.3769983,240.159282745093
1.4029794,238.848397031967
1.4289605,237.548666512822
1.4549416,236.259851612875
1.4809227,234.981726925322
1.5069038,233.714081211342
1.5328849,232.456717400098
1.558866,231.209452588738
1.5848471,229.972118042397
1.6108282,228.744559194193
1.6368093,227.526635645228
1.6627904,226.318221164585
1.6887715,225.119203689333
1.7147526,223.929485324526
1.7407337,222.748982343203
1.7667148,221.577625186387
1.7926959,220.415358463087
1.818677,219.262140950288
1.8446581,218.117945592969
1.8706392,216.982759504086
1.8966203,215.856583964583
1.9226014,214.73943442339
1.9485825,213.631340497418
1.9745636,212.532345971562
2.0005447,211.442508798703
2.0265258,210.361901099704
2.0525069,209.290609163408
2.078488,208.228733446661
2.1044691,207.176388574272
2.1304502,206.133703339042
2.1564313,205.100820701758
2.1824124,204.077897791187
2.2083935,203.065105904083
2.2343746,202.068325805373
2.2603557,201.518354726725
2.2863368,200.968910095739
2.3123179,200.419991796438
2.338299,199.871599714448
2.3642801,199.323733737002
2.3902612,198.776393752943
2.4162423,198.22957965271
2.4422234,197.683291328354
2.4682045,197.137528673527
2.4941856,196.592291583489
2.5201667,196.047579955102
2.5461478,195.503393686838
2.5721289,194.95973267877
2.59811,194.416596832578
2.6240911,193.873986051545
2.6500722,193.331900240563
2.6760533,192.790339306122
2.7020344,192.249303156327
2.7280155,191.708791700883
2.7539966,191.168804851097
2.7799777,190.629342519886
2.8059588,190.090404621771
2.8319399,189.551991072874
2.857921,189.014101790929
2.8839021,188.476736695273
2.9098832,187.939895706845
2.9358643,187.403578748191
2.9618454,186.867785743462
2.9878265,186.332516618416
3.0138076,185.79777130041
3.0397887,185.263549718416
3.0657698,184.729851803004
3.0917509,184.19667748635
3.117732,183.664026702237
3.1437131,183.131899386052
3.1696942,182.600295474783
3.1956753,182.069214907034
3.2216564,181.538657623006
3.2476375,181.008623564504
3.2736186,180.384644916371
3.2995997,179.760275911916
3.3255808,179.135515788486
3.3515619,178.510363849553
3.377543,177.884819464695
3.4035241,177.258882069608
3.4295052,176.632551166102
3.4554863,176.005826322104
3.4814674,175.378707171648
3.5074485,174.751193414894
3.5334296,174.12328481811
3.5594107,173.494981213676
3.5853918,172.866282500092
3.6113729,172.23718864197
3.637354,171.607699670036
3.6633351,170.977815681133
3.6893162,170.347536838216
3.7152973,169.716863370357
3.7412784,169.08579557274
3.7672595,168.454333806668
3.7932406,167.822478499549
3.8192217,167.190230144918
3.8452028,166.557589302418
3.8711839,165.924556597806
3.897165,165.291132722955
3.9231461,164.657318435852
3.9491272,164.0231145606
3.9751083,163.388521987415
4.0010894,162.753541672629
4.0270705,162.118174638688
4.0530516,161.482421974151
4.0790327,160.846284833695
4.1050138,160.209764438108
4.1309949,159.572862074292
4.156976,158.935579095272
4.1829571,158.297916920177
4.2089382,157.659877034255
4.2349193,157.02146098887
4.2609004,156.382670401498
4.2868815,155.743506955732
4.3128626,155.103972401276
4.3388437,154.549136333928
4.3648248,154.16503842264
4.3908059,153.78202715223
4.416787,153.400100770897
4.4427681,153.019257558573
4.4687492,152.63949582694
4.4947303,152.26081391941
4.5207114,151.883210211131
4.5466925,151.506683108996
4.5726736,151.131231051633
4.5986547,150.756852509406
4.6246358,150.383545984422
4.6506169,150.011310010527
4.676598,149.640143153299
4.7025791,149.270044010059
4.7285602,148.901011209865
4.7545413,148.533043413514
4.7805224,148.166139313538
4.8065035,147.800297634217
4.8324846,147.435517131556
4.8584657,147.071796593307
4.8844468,146.709134838958
4.9104279,146.347530719735
4.936409,145.986983118603
4.9623901,145.627490950266
4.9883712,145.269053161164
5.0143523,144.911668729477
5.0403334,144.555336665125
5.0663145,144.200056009759
5.0922956,143.845825836778
5.1182767,143.492645251316
5.1442578,143.140513390242
5.1702389,142.789429422164
5.19622,142.439392547432
5.2222011,142.090401998132
5.2481822,141.742457038088
5.2741633,141.395556962863
5.3001444,141.049701099758
5.3261255,140.704888807812
5.3521066,140.361119477804
5.3780877,140.018392532249
5.4040688,139.676707425401
5.4300499,139.336063643252
5.456031,138.996460703536
5.4820121,138.65789815572
5.5079932,138.320375581012
5.5339743,137.983892592357
5.5599554,137.648448834441
5.5859365,137.314043983685
5.6119176,136.980677748252
5.6378987,136.648349868038
5.6638798,136.317060114683
5.6898609,135.986808291562
5.715842,135.657594233788
5.7418231,135.329417808213
5.7678042,135.002278913432
5.7937853,134.676177479771
5.8197664,134.351113469296
5.8457475,134.027086875815
5.8717286,133.70409772487
5.8977097,133.382146073746
5.9236908,133.06123201146
5.9496719,132.741355658775
5.975653,132.422517168185
6.0016341,132.104716723927
6.0276152,131.787954541973
6.0535963,131.472230870038
6.0795774,131.15754598757
6.1055585,130.84390020576
6.1315396,130.531293867533
6.1575207,130.219727347557
6.1835018,129.909201052232
6.2094829,129.599715419703
6.235464,129.291270919848
6.2614451,128.983868054289
6.2874262,128.67750735638
6.3134073,128.372189391219
6.3393884,128.067914755635
6.3653695,127.764684078205
6.3913506,127.462498019236
6.4173317,127.161357270777
6.4433128,126.861262556617
6.4692939,126.562214632279
6.495275,126.262678065264
6.5212561,125.955851056113
6.5472372,125.675264203667
6.5732183,125.406107060845
6.5991994,125.137806162532
6.6251805,124.870361350857
6.6511616,124.603772470906
6.6771427,124.338039370727
6.7031238,124.073161901321
6.7291049,123.809139916646
6.755086,123.545973273619
6.7810671,123.283661832112
6.8070482,123.022205454954
6.8330293,122.761604007934
6.8590104,122.501857359796
6.8849915,122.242965382239
6.9109726,121.98492794992
6.9369537,121.727744940457
6.9629348,121.471416234418
6.9889159,121.215941715336
7.014897,120.961321269694
7.0408781,120.707554786937
7.0668592,120.454642159463
7.0928403,120.202583282629
7.1188214,119.951378054749
7.1448025,119.701026377093
7.1707836,119.451528153891
7.1967647,119.202883292328
7.2227458,118.955091702542
7.2487269,118.708153297635
7.274708,118.462067993662
7.3006891,118.216835709635
7.3266702,117.972456367525
7.3526513,117.728929892259
7.3786324,117.486256211721
7.4046135,117.24443525675
7.4305946,117.003466961145
7.4565757,116.76335126166
7.4825568,116.524088098007
7.5085379,116.285677412857
7.534519,116.048119151832
7.5605001,115.811413263518
7.5864812,115.575559699453
7.6124623,115.340558414133
7.6384434,115.106409365014
7.6644245,114.873112512505
7.6904056,114.640667819975
7.7163867,114.409075253749
7.7423678,114.178334783108
7.7683489,113.948446380288
7.79433,113.719410020489
7.8203111,113.491225681864
7.8462922,113.263893345519
7.8722733,113.037412995523
7.8982544,112.8117846189
