"Distance [mm]","Mag_B [mTesla]"
0,0.0384153467650106
0.0259811,323.500945123725
0.0519622,319.735803817036
0.0779433,316.027074544046
0.1039244,312.374409162709
0.1299055,308.777464681811
0.1558866,305.235903261017
0.1818677,301.749392210807
0.2078488,298.317603992519
0.2338299,294.940216218348
0.259811,291.616911651325
0.2857921,288.347378205316
0.3117732,285.13130894506
0.3377543,281.968402086117
0.3637354,278.858360994906
0.3897165,275.800894188692
0.4156976,272.795715335589
0.4416787,269.842543254542
0.4676598,266.941101915363
0.4936409,264.091120438693
0.519622,261.292333096027
0.5456031,258.544479309709
0.5715842,255.847303652931
0.5975653,253.200555849716
0.6235464,250.603990774951
0.6495275,248.057368454358
0.6755086,245.560454064508
0.7014897,243.113017932823
0.7274708,240.714835537569
0.7534519,238.365687507859
0.779433,236.065359623643
0.8054141,233.813642815728
0.8313952,231.610333165764
0.8573763,229.455231906245
0.8833574,227.34814542052
0.9093385,225.288885242777
0.9353196,223.277268058046
0.9613007,221.31311570221
0.9872818,219.396255161997
1.0132629,217.526518574981
1.039244,215.703743229583
1.0652251,213.927771565073
1.0912062,212.198451171558
1.1171873,210.51563479
1.1431684,208.879180312203
1.1691495,207.288950780819
1.1951306,205.744814389347
1.2211117,204.246644482136
1.2470928,202.794319554367
1.2730739,201.387723252084
1.299055,200.026744372167
1.3250361,198.711276862346
1.3510172,197.441219821196
1.3769983,196.216477498145
1.4029794,195.036959293453
1.4289605,193.902579758241
1.4549416,192.813258594465
1.4809227,191.768920654934
1.5069038,190.769495943302
1.5328849,189.81491961407
1.558866,188.905131972585
1.5848471,188.040078475036
1.6108282,187.219709728463
1.6368093,186.443981490749
1.6627904,185.712854670627
1.6887715,185.026295327677
1.7147526,184.384274672321
1.7407337,183.786769065829
1.7667148,183.233760020316
1.7926959,182.725234198744
1.818677,182.261183414925
1.8446581,181.841604633513
1.8706392,181.466499970011
1.8966203,181.135876690766
1.9226014,180.84974721297
1.9485825,180.608129104664
1.9745636,180.411045084738
2.0005447,180.25852302292
2.0265258,180.150595939793
2.0525069,180.087302006788
2.078488,180.068684546164
2.1044691,180.094792031046
2.1304502,180.165678085399
2.1564313,180.281401484031
2.1824124,179.943350288691
2.2083935,179.365770061716
2.2343746,178.790973772928
2.2603557,178.218960819853
2.2863368,177.649730604085
2.3123179,177.083282531287
2.338299,176.519616011193
2.3642801,175.958730457606
2.3902612,175.400625288391
2.4162423,174.845299925492
2.4422234,174.292753794918
2.4682045,173.74298632675
2.4941856,173.195996955133
2.5201667,172.651785118291
2.5461478,172.110350258502
2.5721289,171.571691822128
2.59811,171.035809259591
2.6240911,170.502702025389
2.6500722,169.972369578085
2.6760533,169.444811380316
2.7020344,168.920026898778
2.7280155,168.398015604245
2.7539966,167.878776971561
2.7799777,167.362310479635
2.8059588,166.848615611447
2.8319399,166.337691854048
2.857921,165.829538698557
2.8839021,165.324155640157
2.9098832,164.821542178108
2.9358643,164.321697815738
2.9618454,163.824622060441
2.9878265,163.330314423683
3.0138076,162.838774421002
3.0397887,162.350001571994
3.0657698,161.863995400336
3.0917509,161.380755433772
3.117732,160.900281204111
3.1437131,160.422572247235
3.1696942,159.947628103099
3.1956753,159.475448315714
3.2216564,159.006032433173
3.2476375,158.539380007634
3.2736186,158.132788171617
3.2995997,157.730038945784
3.3255808,157.331132650977
3.3515619,156.936069616128
3.377543,156.544850178301
3.4035241,156.157474682663
3.4295052,155.773943482498
3.4554863,155.394256939196
3.4814674,155.018415422272
3.5074485,154.646419309335
3.5334296,154.27826898612
3.5594107,153.913964846473
3.5853918,153.553507292349
3.6113729,153.196896733816
3.637354,152.844133589059
3.6633351,152.495218284368
3.6893162,152.150151254148
3.7152973,151.808932940922
3.7412784,151.471563795318
3.7672595,151.138044276079
3.7932406,150.808374850067
3.8192217,150.482555992243
3.8452028,150.160588185689
3.8711839,149.8424719216
3.897165,149.528207699283
3.9231461,149.217796026155
3.9491272,148.911237417746
3.9751083,148.608532397702
4.0010894,148.309681497773
4.0270705,148.01468525783
4.0530516,147.723544225855
4.0790327,147.436258957939
4.1050138,147.152830018287
4.1309949,146.873257979222
4.156976,146.597543421165
4.1829571,146.325686932665
4.2089382,146.057689110375
4.2349193,145.793550559065
4.2609004,145.533271891611
4.2868815,145.276853729009
4.3128626,145.024296700363
4.3388437,144.770751863576
4.3648248,144.509072684453
4.3908059,144.247809502978
4.416787,143.986962113392
4.4427681,143.726530314039
4.4687492,143.466513907353
