"Distance [mm]","Mag_B [mTesla]"
0,0.0135514655871278
0.0150004,135.520800063378
0.0300008,135.520539117908
0.0450012,135.520271923722
0.0600016,135.519998480815
0.075002,135.519718789184
0.0900024,135.519432848822
0.1050028,135.519140659724
0.1200032,135.518842221887
0.1350036,135.518537535306
0.150004,135.518226599975
0.1650044,135.51790941589
0.1800048,135.517585983047
0.1950052,135.51725630144
0.2100056,135.516920371066
0.225006,135.516578191919
0.2400064,135.516229763995
0.2550068,135.515875087289
0.2700072,135.515514161797
0.2850076,135.515146987515
0.300008,135.514735299494
0.3150084,135.514297259725
0.3300088,135.513851905693
0.3450092,135.5133992374
0.3600096,135.512939254845
0.37501,135.512471958029
0.3900104,135.511997346952
0.4050108,135.511515421614
0.4200112,135.511026182015
0.4350116,135.510529628157
0.450012,135.510025760038
0.4650124,135.509514577661
0.4800128,135.508996081024
0.4950132,135.508470270128
0.5100136,135.507937144973
0.525014,135.507396705561
0.5400144,135.50684895189
0.5550148,135.506293883962
0.5700152,135.505731501777
0.5850156,135.505161805336
0.600016,135.504584794638
0.6150164,135.504000469683
0.6300168,135.503408830473
0.6450172,135.502809877008
0.6600176,135.502203609288
0.675018,135.501590027314
0.6900184,135.500969131085
0.7050188,135.500340920603
0.7200192,135.499705395867
0.7350196,135.499062556878
0.75002,135.498412403637
0.7650204,135.497754936144
0.7800208,135.497090154399
0.7950212,135.496418058402
0.8100216,135.495716220239
0.825022,135.495013407683
0.8400224,135.494309690201
0.8550228,135.493605067806
0.8700232,135.492899540508
0.8850236,135.49219310832
0.900024,135.491485771256
0.9150244,135.490777529328
0.9300248,135.490068382548
0.9450252,135.489358330932
0.9600256,135.488647374491
0.975026,135.48793551324
0.9900264,135.487222747193
1.0050268,135.486509076363
1.0200272,135.485794500766
1.0350276,135.485079020416
1.050028,135.484362635328
1.0650284,135.483645345518
1.0800288,135.482927150999
1.0950292,135.482208051789
1.1100296,135.481488047902
1.12503,135.480767139355
1.1400304,135.480045326165
1.1550308,135.479322608346
1.1700312,135.478598985917
1.1850316,135.477874458894
1.200032,135.477149027295
1.2150324,135.476422691136
1.2300328,135.475695450435
1.2450332,135.47496730521
1.2600336,135.474238255479
1.275034,135.473508301261
1.2900344,135.472777442573
1.3050348,135.472045679435
1.3200352,135.471313011866
1.3350356,135.470579439883
1.350036,135.469844963508
1.3650364,135.46910958276
1.3800368,135.468373297658
1.3950372,135.467636108222
1.4100376,135.466898014474
1.425038,135.466159016432
1.4400384,135.465419114118
1.4550388,135.464678307554
1.4700392,135.463936596759
1.4850396,135.463193981756
1.50004,135.462450462567
1.5150404,135.461706039212
1.5300408,135.460960711714
1.5450412,135.460214480096
1.5600416,135.459467344379
1.575042,135.458719304588
1.5900424,135.457970360743
1.6050428,135.45722051287
1.6200432,135.456469760991
1.6350436,135.45571810513
1.650044,135.45496554531
1.6650444,135.454212081557
1.6800448,135.453457713893
1.6950452,135.452702442344
1.7100456,135.451946266935
1.725046,135.451189187691
1.7400464,135.450431204636
1.7550468,135.449672317796
1.7700472,135.448912527197
1.7850476,135.448151832864
1.800048,135.447390234825
1.8150484,135.446627733105
1.8300488,135.44586432773
1.8450492,135.445100018728
1.8600496,135.444334806125
1.87505,135.443568689949
