"Distance [mm]","Mag_B [mTesla]"
0,0.013351944787537
0.0150004,133.522689467494
0.0300008,133.521551832381
0.0450012,133.520396550886
0.0600016,133.519223623055
0.075002,133.518033048934
0.0900024,133.516824828567
0.1050028,133.515598962002
0.1200032,133.514355449284
0.1350036,133.513094290459
0.150004,133.511815485575
0.1650044,133.510519034677
0.1800048,133.509204937812
0.1950052,133.507873195029
0.2100056,133.506523806372
0.225006,133.505156771891
0.2400064,133.503772091632
0.2550068,133.502369765643
0.2700072,133.500949793972
0.2850076,133.499512176667
0.300008,133.498303981001
0.3150084,133.497200386967
0.3300088,133.496076958503
0.3450092,133.494933695608
0.3600096,133.493770598277
0.37501,133.49258766651
0.3900104,133.491384900302
0.4050108,133.490162299651
0.4200112,133.488919864555
0.4350116,133.487657595012
0.450012,133.486375491019
0.4650124,133.485073552572
0.4800128,133.483751779671
0.4950132,133.482410172312
0.5100136,133.481048730492
0.525014,133.47966745421
0.5400144,133.478266343462
0.5550148,133.476845398247
0.5700152,133.475404618562
0.5850156,133.473944004404
0.600016,133.472463555771
0.6150164,133.47096327266
0.6300168,133.46944315507
0.6450172,133.467903202998
0.6600176,133.466343416441
0.675018,133.464763795397
0.6900184,133.463164339863
0.7050188,133.461545049839
0.7200192,133.45990592532
0.7350196,133.458246966304
0.75002,133.45656817279
0.7650204,133.454869544775
0.7800208,133.453151082257
0.7950212,133.451412785234
0.8100216,133.448887663314
0.825022,133.446354826566
0.8400224,133.443816373208
0.8550228,133.441272303292
0.8700232,133.438722616869
0.8850236,133.436167313993
0.900024,133.433606394716
0.9150244,133.431039859095
0.9300248,133.428467707186
0.9450252,133.425889939045
0.9600256,133.423306554732
0.975026,133.420717554304
0.9900264,133.418122937822
1.0050268,133.415522705349
1.0200272,133.412916856945
1.0350276,133.410305392675
1.050028,133.407688312603
1.0650284,133.405065616794
1.0800288,133.402437305315
1.0950292,133.399803378234
1.1100296,133.397163835619
1.12503,133.39451867754
1.1400304,133.391867904067
1.1550308,133.389211515273
1.1700312,133.386549511229
1.1850316,133.383881892011
1.200032,133.381208657693
1.2150324,133.37852980835
1.2300328,133.37584534406
1.2450332,133.3731552649
1.2600336,133.370459570951
1.275034,133.367758262291
1.2900344,133.365051339002
1.3050348,133.362338801167
1.3200352,133.359620648868
1.3350356,133.356896882189
1.350036,133.354167501217
1.3650364,133.351432506037
1.3800368,133.348691896737
1.3950372,133.345945673405
1.4100376,133.34319383613
1.425038,133.340436385004
1.4400384,133.337673320117
1.4550388,133.334904641563
1.4700392,133.332130349435
1.4850396,133.329350443827
1.50004,133.326564924836
1.5150404,133.323773792558
1.5300408,133.320977047091
1.5450412,133.318174688534
1.5600416,133.315366716987
1.575042,133.312553132551
1.5900424,133.309733935327
1.6050428,133.306909125419
1.6200432,133.304078702931
1.6350436,133.301242667968
1.650044,133.298401020637
1.6650444,133.295553761043
1.6800448,133.292700889296
1.6950452,133.289842405505
1.7100456,133.28697830978
1.725046,133.284108602234
1.7400464,133.281233282977
1.7550468,133.278352352123
1.7700472,133.275465809788
1.7850476,133.272573656086
1.800048,133.269675891134
1.8150484,133.26677251505
1.8300488,133.263863527953
1.8450492,133.260948929962
1.8600496,133.258028721198
1.87505,133.255102901782
1.8900504,133.252171471838
1.9050508,133.24923443149
1.9200512,133.246291780862
1.9350516,133.24334352008
1.950052,133.238040571252
1.9650524,133.231386033656
1.9800528,133.224725263468
1.9950532,133.218058260404
2.0100536,133.211385024189
2.025054,133.204705554549
2.0400544,133.198019851214
2.0550548,133.191327913918
2.0700552,133.184629742402
2.0850556,133.177925336406
2.100056,133.171214695678
2.1150564,133.164497819968
2.1300568,133.157774709031
2.1450572,133.151045362625
2.1600576,133.144309780513
2.175058,133.137567962461
2.1900584,133.13081990824
2.2050588,133.124065617624
2.2200592,133.117305090392
2.2350596,133.110538326326
2.25006,133.103765325212
2.2650604,133.096986086842
2.2800608,133.090200611009
2.2950612,133.083408897512
2.3100616,133.076610946153
2.325062,133.069806756739
2.3400624,133.06299632908
2.3550628,133.05617966299
2.3700632,133.049356758288
2.3850636,133.042527614796
2.400064,133.035692232341
2.4150644,133.028850610752
2.4300648,133.022002749865
2.4450652,133.015148649516
2.4600656,133.00828830955
2.475066,133.001421729811
2.4900664,132.994548910151
2.5050668,132.987669850423
2.5200672,132.980784550486
2.5350676,132.973893010202
2.550068,132.966995229437
2.5650684,132.960091208061
2.5800688,132.953180945948
2.5950692,132.946264442978
2.6100696,132.939341699032
2.62507,132.932412713995
2.6400704,132.925477487759
2.6550708,132.918536020217
2.6700712,132.911588311268
2.6850716,132.904634360813
2.700072,132.89831710824
2.7150724,132.892059981457
2.7300728,132.88578329381
2.7450732,132.879487045282
2.7600736,132.873171235855
2.775074,132.866835865511
2.7900744,132.860480934235
2.8050748,132.854106442008
2.8200752,132.847712388813
2.8350756,132.841298774634
2.850076,132.834865599453
2.8650764,132.828412863254
2.8800768,132.821940566019
2.8950772,132.815448707732
2.9100776,132.808937288376
2.925078,132.802406307934
2.9400784,132.795855766389
2.9550788,132.789285663725
2.9700792,132.782695999924
2.9850796,132.776086774971
3.00008,132.769457988849
3.0150804,132.762809641541
3.0300808,132.756141733031
3.0450812,132.749454263302
3.0600816,132.742747232338
3.075082,132.736020640123
3.0900824,132.72927448664
3.1050828,132.722508771873
3.1200832,132.715723495806
3.1350836,132.708918658422
3.150084,132.702094259707
3.1650844,132.695250299642
3.1800848,132.688386778214
3.1950852,132.681503695405
3.2100856,132.674601051199
3.225086,132.667678845581
3.2400864,132.660737078535
3.2550868,132.653775750045
3.2700872,132.646794860095
3.2850876,132.63979440867
3.300088,132.632774395753
3.3150884,132.62573482133
3.3300888,132.618675685385
3.3450892,132.610978572837
3.3600896,132.603254634991
3.37509,132.595516537214
3.3900904,132.587764279382
3.4050908,132.579997861373
3.4200912,132.572217283068
3.4350916,132.564422544345
3.450092,132.556613645083
3.4650924,132.548790585165
3.4800928,132.54095336447
3.4950932,132.53310198288
3.5100936,132.525236440277
3.525094,132.517356736546
3.5400944,132.509462871567
3.5550948,132.501554845226
3.5700952,132.493632657408
3.5850956,132.485696307996
3.600096,132.477745796877
3.6150964,132.469781123936
3.6300968,132.461802289061
3.6450972,132.453809292138
3.6600976,132.445802133056
3.675098,132.437780811703
3.6900984,132.429745327968
3.7050988,132.42169568174
3.7200992,132.413631872909
3.7350996,132.405553901367
3.7501,132.397461767004
3.7651004,132.389355469712
3.7801008,132.381235009383
3.7951012,132.373100385911
3.8101016,132.364951599188
3.825102,132.35678864911
3.8401024,132.348611535569
3.8551028,132.339117425043
3.8701032,132.329511882333
3.8851036,132.319903137956
3.900104,132.310291191917
3.9151044,132.300676044221
3.9301048,132.291057694871
3.9451052,132.281436143872
3.9601056,132.271811391227
3.975106,132.26218343694
3.9901064,132.252552281017
4.0051068,132.24291792346
4.0201072,132.233280364276
4.0351076,132.223639603468
4.050108,132.213995641041
4.0651084,132.204348476999
4.0801088,132.194698111349
4.0951092,132.185044544093
4.1101096,132.175387775237
4.12511,132.165727804787
4.1401104,132.156064632747
4.1551108,132.146398259122
4.1701112,132.136728683918
4.1851116,132.12705590714
4.200112,132.117379928794
4.2151124,132.107700748884
4.2301128,132.098018367417
4.2451132,132.088332784398
4.2601136,132.078643999833
4.275114,132.068952013727
4.2901144,132.059256826086
4.3051148,132.049558436917
4.3201152,132.039856846225
4.3351156,132.030152054017
4.350116,132.020444060299
4.3651164,132.010732865076
4.3801168,132.001018468356
4.3951172,131.991300870144
4.4101176,131.981580070447
4.425118,131.971856069272
4.4401184,131.962128866625
4.4551188,131.952398462514
4.4701192,131.942664856944
4.4851196,131.932928049923
4.50012,131.923188041458
4.5151204,131.913444831555
4.5301208,131.903698420223
4.5451212,131.893948807467
4.5601216,131.884195993296
4.575122,131.874439977717
4.5901224,131.864680760736
4.6051228,131.854918342362
4.6201232,131.845152722603
4.6351236,131.835383901465
4.650124,131.825611878956
4.6651244,131.815836655086
4.6801248,131.80605822986
4.6951252,131.796276603288
4.7101256,131.786491775377
4.725126,131.776703746136
4.7401264,131.766912515572
4.7551268,131.757118083694
4.7701272,131.74732045051
4.7851276,131.73751961603
4.800128,131.72771558026
4.8151284,131.71790834321
4.8301288,131.708097904889
4.8451292,131.698284265306
4.8601296,131.688467424468
4.87513,131.678647382385
4.8901304,131.668824139067
4.9051308,131.658997694521
4.9201312,131.649168048758
4.9351316,131.639335201786
4.950132,131.629499153615
4.9651324,131.619659904255
4.9801328,131.609817453713
4.9951332,131.599971802001
5.0101336,131.590122949128
5.025134,131.580270895103
5.0401344,131.570415639936
5.0551348,131.560557183638
5.0701352,131.550695526217
5.0851356,131.540830667685
5.100136,131.53096260805
5.1151364,131.521091347324
5.1301368,131.511216885517
5.1451372,131.501339222638
5.1601376,131.491458358698
5.175138,131.481574293708
5.1901384,131.471687027678
5.2051388,131.461796560619
5.2201392,131.451902892542
5.2351396,131.442006023456
5.25014,131.432105953374
5.2651404,131.422202682307
5.2801408,131.412296210264
5.2951412,131.402386537258
5.3101416,131.392473663299
5.325142,131.382557588399
5.3401424,131.372638312569
5.3551428,131.36271583582
5.3701432,131.352790158165
5.3851436,131.342861279613
5.400144,131.332929200178
5.4151444,131.322993919871
5.4301448,131.313055438703
5.4451452,131.303113756687
5.4601456,131.293168873834
5.475146,131.283220790158
5.4901464,131.273269505668
5.5051468,131.263315020379
5.5201472,131.253357334301
5.5351476,131.243396447449
5.550148,131.233432359832
5.5651484,131.223465071466
5.5801488,131.213494582361
5.5951492,131.203520892531
5.6101496,131.193529106552
5.62515,131.183333911356
