"Distance [mm]","Mag_B [mTesla]"
0,0.0287735644722956
0.0212136,750.460535907405
0.0424272,744.663078582093
0.0636408,738.913090404298
0.0848544,733.21057118558
0.106068,728.633136061407
0.1272816,725.759076276299
0.1484952,722.903475863705
0.1697088,720.066334629177
0.1909224,717.247652376765
0.212136,714.447428909046
0.2333496,711.665664027136
0.2545632,708.902357530604
0.2757768,706.157509217589
0.2969904,703.431118884718
0.318204,700.723186327114
0.3394176,698.033711338428
0.3606312,695.362693710842
0.3818448,692.710133235012
0.4030584,690.076029700139
0.424272,687.46038289392
0.4454856,684.863192602565
0.4666992,682.284458610786
0.4879128,679.724180701842
0.5091264,677.182358657464
0.53034,674.658992257919
0.5515536,672.154081281986
0.5727672,669.667625506942
0.5939808,667.199624708577
0.6151944,664.750078661212
0.636408,662.318987137668
0.6576216,659.906349909273
0.6788352,657.512166745879
0.7000488,655.136437415844
0.7212624,652.779161686031
0.742476,650.440339321815
0.7636896,648.119970087112
0.7849032,645.818053744316
0.8061168,643.534590054348
0.8273304,641.269578776647
0.848544,639.02301966914
0.8697576,636.794912488283
0.8909712,634.585256989058
0.9121848,632.394052924936
0.9333984,630.221300047911
0.954612,628.06699810849
0.9758256,625.931146855687
0.9970392,623.813746037017
1.0182528,621.714795398541
1.0394664,619.634294684796
1.06068,617.572243638859
1.0818936,615.528642002305
1.1031072,613.503489515219
1.1243208,611.496785916194
1.1455344,609.508530942364
1.166748,607.538724329336
1.1879616,605.587365811257
1.2091752,603.654455120781
1.2303888,601.739991989065
1.2516024,599.843976145772
1.272816,597.966407319111
1.2940296,596.107285235762
1.3152432,594.266609620947
1.3364568,592.444380198388
1.3576704,590.640596690319
1.378884,588.855258817482
1.4000976,587.088366299139
1.4213112,585.339918853062
1.4425248,583.60991619554
1.4637384,581.89835804137
1.484952,580.205244103851
1.5061656,578.530574094813
1.5273792,576.874347724577
1.5485928,575.236564701995
1.5698064,573.617224734427
1.59102,572.016327527742
1.6122336,570.433872786314
1.6334472,568.869860213045
1.6546608,567.324289509329
1.6758744,565.797160375088
1.697088,564.288472508766
1.7183016,562.798225607294
1.7395152,561.326419366123
1.7607288,559.873053479227
1.7819424,558.438127639075
1.803156,557.021641536658
1.8243696,555.623594861497
1.8455832,554.243987301591
1.8667968,552.882818543473
1.8880104,551.540088272183
1.909224,550.215796171267
1.9304376,548.909941922782
1.9516512,547.622525207327
1.9728648,546.353545703975
1.9940784,545.103003090333
2.015292,543.870897042507
2.0365056,542.657227235123
2.0577192,541.461993341311
2.0789328,540.28519503274
2.1001464,539.126831979557
2.12136,537.98690385044
2.1425736,536.86541031257
2.1637872,535.762351031652
2.1850008,534.677725671878
2.2062144,533.611533895994
2.227428,532.563775365223
2.2486416,531.534449739315
2.2698552,530.523556676521
2.2910688,529.531095833622
2.3122824,528.557066865888
2.333496,527.601469427119
2.3547096,526.664303169634
2.3759232,525.745567744244
2.3971368,524.845262800276
2.4183504,523.963387985582
2.439564,523.099942946513
2.4607776,522.254927327923
2.4819912,521.428340773223
2.5032048,520.62018292429
2.5244184,519.830453421525
2.545632,519.059151903853
2.5668456,518.306278008697
2.5880592,517.571831371986
2.6092728,516.8558116282
2.6304864,516.158218410294
2.6517,515.479051349739
2.6729136,514.806787246997
2.6941272,514.134103153672
2.7153408,513.460999076016
2.7365544,512.787475020478
2.757768,512.113530993528
2.7789816,511.439167001778
2.8001952,510.764383051953
2.8214088,510.089179150892
2.8426224,509.413555305499
2.863836,508.737511522883
2.8850496,508.06104781018
2.9062632,507.384164174656
2.9274768,506.7068606237
2.9486904,506.029137164809
2.969904,505.35099380557
2.9911176,504.672430553707
3.0123312,503.993447417051
3.0335448,503.314044403523
3.0547584,502.634221521167
3.075972,501.95397877815
3.0971856,501.273316182691
3.1183992,500.592233743216
3.1396128,499.910731468194
3.1608264,499.228809366211
3.18204,498.546467445968
3.2032536,497.863705716287
3.2244672,497.180524186077
3.2456808,496.496922864377
3.2668944,495.812901760352
3.288108,495.12846088324
3.3093216,494.4436002424
3.3305352,493.758319847312
3.3517488,493.07261970757
3.3729624,492.386499832826
3.394176,491.699960232944
3.4153896,491.013000917811
3.4366032,490.325621897447
3.4578168,489.637823181991
3.4790304,488.9496047817
3.500244,488.260966706897
3.5214576,487.571908968073
3.5426712,486.882431575809
3.5638848,486.192534540773
3.5850984,485.502217873768
3.606312,484.811481585702
3.6275256,484.120325687566
3.6487392,483.428750190528
3.6699528,482.736755105802
3.6911664,482.044340444729
3.71238,481.351506218769
3.7335936,480.6582524395
3.7548072,479.964579118567
3.7760208,479.270486267777
3.7972344,478.575973899045
3.818448,477.881042024347
3.8396616,477.185690655813
3.8608752,476.489919805675
3.8820888,475.793729486244
3.9033024,475.097119709984
3.924516,474.400090489473
3.9457296,473.702641837347
3.9669432,473.004773766394
3.9881568,472.306486289506
4.0093704,471.607779419666
4.030584,470.908653169986
4.0517976,470.209107553707
4.0730112,469.509142584128
4.0942248,468.808758274697
4.1154384,468.107954638966
4.136652,467.406731690573
4.1578656,466.705089443305
4.1790792,466.003027911047
4.2002928,465.300547107776
4.2215064,464.597647047585
4.24272,463.894327744688
4.2639336,463.190589213399
4.2851472,462.48643146816
4.3063608,461.781854523486
4.3275744,461.076858394059
4.348788,460.37144309461
4.3700016,459.665608640016
4.3912152,458.959355045257
4.4124288,458.252682325412
4.4336424,457.545590495705
4.454856,456.838079571431
4.4760696,456.130149568002
4.4972832,455.421800500956
4.5184968,454.713032385926
4.5397104,454.003845238675
4.560924,453.294239075041
4.5821376,452.584213911026
4.6033512,451.873769762681
4.6245648,451.162906646207
4.6457784,450.451624577908
4.666992,449.73992357418
4.6882056,449.027803651548
4.7094192,448.315264826666
4.7306328,447.602307116247
4.7518464,446.88893053715
4.77306,446.175135106341
4.7942736,445.460920840873
4.8154872,444.746287757944
4.8367008,444.03123587485
4.8579144,443.315765208983
4.879128,442.599875777851
4.9003416,441.883567599082
4.9215552,441.166840690391
4.9427688,440.449695069637
4.9639824,439.732130754776
4.985196,439.01414776386
5.0064096,438.295746115058
5.0276232,437.57692582666
5.0488368,436.857686917044
5.0700504,436.138029404726
5.091264,435.417953308313
5.1124776,434.697458646529
5.1336912,433.976545438204
5.1549048,433.255213702287
5.1761184,432.533463457812
5.197332,431.811294723968
5.2185456,431.088707520005
5.2397592,430.365701865326
5.2609728,429.642277779407
5.2821864,428.918435281863
5.3034,428.194174392388
5.3246136,427.570565692184
5.3458272,426.947464018506
5.3670408,426.324869379355
5.3882544,425.702781782752
5.409468,425.08120123676
5.4306816,424.460127749463
5.4518952,423.839561328992
5.4731088,423.219501983499
5.4943224,422.59994972117
5.515536,421.980904550228
5.5367496,421.362366478919
5.5579632,420.744335515529
5.5791768,420.126811668374
5.6003904,419.509794945805
5.621604,418.893285356196
5.6428176,418.277282907963
5.6640312,417.66178760955
5.6852448,417.046799469432
5.7064584,416.432318496119
5.727672,415.81834469815
5.7488856,415.204878084101
5.7700992,414.591918662575
5.7913128,413.979466442209
5.8125264,413.367521431673
5.83374,412.756083639664
5.8549536,412.145153074922
5.8761672,411.534729746212
5.8973808,410.924813662327
5.9185944,410.315404832099
5.939808,409.706503264393
5.9610216,409.098108968097
5.9822352,408.490221952143
6.0034488,407.88284222549
6.0246624,407.275969797126
6.045876,406.669604676073
6.0670896,406.063746871388
6.0883032,405.458396392153
6.1095168,404.853553247495
6.1307304,404.249217446562
6.151944,403.645388998534
6.1731576,403.04206791263
6.1943712,402.439254198099
6.2155848,401.836947864214
6.2367984,401.235148920295
6.258012,400.633857375683
6.2792256,400.033073239756
6.3004392,399.432796521918
6.3216528,398.833027231614
6.3428664,398.233765378311
6.36408,397.63501097152
6.3852936,397.036764020778
6.4065072,396.439024535647
6.4277208,395.841792525734
6.4489344,395.245068000673
6.470148,394.648850970123
6.4913616,394.053141443788
6.5125752,393.457939431398
6.5337888,392.863244942711
6.5550024,392.269057987523
6.576216,391.67537857566
6.5974296,391.082206716976
6.6186432,390.489542421368
6.6398568,389.897385698758
6.6610704,389.305736559099
6.682284,388.714595012374
6.7034976,388.123961068608
6.7247112,387.533834737846
6.7459248,386.944216030176
6.7671384,386.355104955713
6.788352,385.766501524604
6.8095656,385.178405747028
6.8307792,384.590817633198
6.8519928,384.003737193354
6.8732064,383.417164437777
6.89442,382.831099376771
6.9156336,382.245542020683
6.9368472,381.660492379878
6.9580608,381.075950464762
6.9792744,380.491916285773
7.000488,379.908389853381
7.0217016,379.325371178085
7.0429152,378.742860270421
7.0641288,378.160857140951
7.0853424,377.579361800274
7.106556,376.998374259022
7.1277696,376.417894527849
7.1489832,375.837922617455
7.1701968,375.258458538567
7.1914104,374.679502301941
7.212624,374.101053918365
7.2338376,373.523113398664
7.2550512,372.945680753689
7.2762648,372.368755994331
7.2974784,371.792339131508
7.318692,371.21643017617
7.3399056,370.641029139301
7.3611192,370.066136031916
7.3823328,369.491750865057
7.4035464,368.91787364981
7.42476,368.344504397288
7.4459736,367.771643118628
7.4671872,367.199289825008
7.4884008,366.62744452764
7.5096144,366.056107237757
7.530828,365.485277966637
7.5520416,364.914956725585
7.5732552,364.345143525933
7.5944688,363.775838379055
7.6156824,363.207041296347
7.636896,362.638752289241
7.6581096,362.070971369207
7.6793232,361.50369854774
