"Distance [mm]","Mag_B [mTesla]"
0,0.0151790091224703
0.0150004,511.93925862851
0.0300008,511.789583649846
0.0450012,511.638780670386
0.0600016,511.486849689835
0.075002,511.333790707894
0.0900024,511.179603724268
0.1050028,511.024288738667
0.1200032,510.867845750797
0.1350036,510.710274760371
0.150004,510.551575767101
0.1650044,510.391748770699
0.1800048,510.230793770884
0.1950052,510.068710767369
0.2100056,509.905499759877
0.225006,509.741160748127
0.2400064,509.575693731842
0.2550068,509.409098710744
0.2700072,509.241375684561
0.2850076,509.072524653021
0.300008,508.906374502884
0.3150084,508.741294765864
0.3300088,508.575376057968
0.3450092,508.408618379108
0.3600096,508.241021729201
0.37501,508.072586108165
0.3900104,507.903311515918
0.4050108,507.733197952376
0.4200112,507.56224541746
0.4350116,507.390453911089
0.450012,507.217823433184
0.4650124,507.044353983666
0.4800128,506.870045562458
0.4950132,506.694898169482
0.5100136,506.51891180466
0.525014,506.342086467919
0.5400144,506.164422159183
0.5550148,505.985918878378
0.5700152,505.80657662543
0.5850156,505.626395400267
0.600016,505.445375202815
0.6150164,505.263516033006
0.6300168,505.080817890768
0.6450172,504.897280776031
0.6600176,504.712904688726
0.675018,504.527689628785
0.6900184,504.341635596141
0.7050188,504.154742590727
0.7200192,503.967010612477
0.7350196,503.778439661325
0.75002,503.589029737208
0.7650204,503.39878084006
0.7800208,503.20769296982
0.7950212,503.015766126426
0.8100216,502.76148984464
0.825022,502.506634167199
0.8400224,502.251366397144
0.8550228,501.995686534427
0.8700232,501.73959457901
0.8850236,501.483090530865
0.900024,501.226174389971
0.9150244,500.968846156322
0.9300248,500.711105829915
0.9450252,500.45295341076
0.9600256,500.194388898876
0.975026,499.93541229429
0.9900264,499.676023597043
1.0050268,499.416222807178
1.0200272,499.156009924754
1.0350276,498.895384949837
1.050028,498.634347882502
1.0650284,498.372898722834
1.0800288,498.111037470927
1.0950292,497.848764126886
1.1100296,497.586078690824
1.12503,497.322981162862
1.1400304,497.059471543135
1.1550308,496.795549831784
1.1700312,496.531216028959
1.1850316,496.266470134821
1.200032,496.00131214954
1.2150324,495.735742073296
1.2300328,495.469759906279
1.2450332,495.203365648685
1.2600336,494.936559300724
1.275034,494.669340862613
1.2900344,494.401710334577
1.3050348,494.133667716855
1.3200352,493.865213009691
1.3350356,493.59634621334
1.350036,493.327067328068
1.3650364,493.057376354149
1.3800368,492.787273291866
1.3950372,492.516758141511
1.4100376,492.245830903389
1.425038,491.974491577809
1.4400384,491.702740165093
1.4550388,491.430576665575
1.4700392,491.158001079592
1.4850396,490.885013407495
1.50004,490.611613649643
1.5150404,490.337801806404
1.5300408,490.063577878157
1.5450412,489.78894186529
1.5600416,489.513893768199
1.575042,489.238433587292
1.5900424,488.962561322983
1.6050428,488.686276975698
1.6200432,488.409580545873
1.6350436,488.132472033952
1.650044,487.854951440387
1.6650444,487.577018765644
1.6800448,487.298674010195
1.6950452,487.019917174519
1.7100456,486.740748259111
1.725046,486.461167264472
1.7400464,486.181174191112
1.7550468,485.900769039551
1.7700472,485.619951810318
1.7850476,485.338722503951
1.800048,485.057081121002
1.8150484,484.775027662024
1.8300488,484.492562127588
1.8450492,484.209684518269
1.8600496,483.926394834653
1.87505,483.642693077337
1.8900504,483.358579246925
1.9050508,483.074053344032
1.9200512,482.789115369282
1.9350516,482.503765323307
1.950052,482.112503991125
1.9650524,481.660145868509
1.9800528,481.207059676013
1.9950532,480.753245411845
2.0100536,480.298703074243
2.025054,479.843432661472
2.0400544,479.387434171828
2.0550548,478.930707603632
2.0700552,478.473252955238
2.0850556,478.015070225023
2.100056,477.556159411396
2.1150564,477.096520512792
2.1300568,476.636153527679
2.1450572,476.175058454547
2.1600576,475.713235291918
2.175058,475.250684038344
2.1900584,474.787404692402
2.2050588,474.3233972527
2.2200592,473.858661717871
2.2350596,473.393198086581
2.25006,472.927006357521
2.2650604,472.460086529411
2.2800608,471.992438601001
2.2950612,471.524062571068
2.3100616,471.054958438416
2.325062,470.585126201882
2.3400624,470.114565860325
2.3550628,469.643277412639
2.3700632,469.171260857742
2.3850636,468.698516194582
2.400064,468.225043422134
2.4150644,467.750842539406
2.4300648,467.275913545426
2.4450652,466.800256439258
2.4600656,466.323871219992
2.475066,465.846757886745
2.4900664,465.368916438664
2.5050668,464.890346874925
2.5200672,464.411049194731
2.5350676,463.931023397311
2.550068,463.450269481929
2.5650684,462.968787447872
2.5800688,462.486577294456
2.5950692,462.003639021028
2.6100696,461.51997262696
2.62507,461.035578111657
2.6400704,460.550455474546
2.6550708,460.06460471509
2.6700712,459.578025832772
2.6850716,459.090718827113
2.700072,458.628801767094
2.7150724,458.169297688845
2.7300728,457.70899523761
2.7450732,457.247894413362
2.7600736,456.78599521607
2.775074,456.323297645704
2.7900744,455.859801702232
2.8050748,455.395507385623
2.8200752,454.930414695842
2.8350756,454.464523632859
2.850076,453.997834196635
2.8650764,453.530346387137
2.8800768,453.062060204328
2.8950772,452.592975648171
2.9100776,452.123092718627
2.925078,451.652411415658
2.9400784,451.180931739224
