"Distance [mm]","Mag_B [mTesla]"
0,0.0579418709215017
0.0212136,381.276080581777
0.0424272,378.368293718803
0.0636408,375.489696171157
0.0848544,372.639974363965
0.106068,369.818817536529
0.1272816,367.025917742312
0.1484952,364.260969848959
0.1697088,361.52367153829
0.1909224,358.813723306284
0.212136,356.130828463105
0.2333496,353.474693133094
0.2545632,350.845026254747
0.2757768,348.241539580751
0.2969904,345.663947677959
0.318204,343.111967927393
0.3394176,340.585320524249
0.3606312,338.083728477905
0.3818448,335.6069176119
0.4030584,333.154616563953
0.424272,330.726556785955
0.4454856,328.322472543967
0.4666992,325.942100918222
0.4879128,323.585181803135
0.5091264,321.25145790728
0.53034,318.940674753418
0.5515536,316.652580678472
0.5727672,314.386926833545
0.5939808,312.143467183904
0.6151944,309.921958509
0.636408,307.722160402452
0.6576216,305.543835272049
0.6788352,303.386748339757
0.7000488,301.250667641714
0.7212624,299.135364028227
0.742476,297.040611163779
0.7636896,294.966185527029
0.7849032,292.911866410805
0.8061168,290.877435922109
0.8273304,288.862678982116
0.848544,286.86738332617
0.8697576,284.891339503793
0.8909712,282.93434087868
0.9121848,280.996183628696
0.9333984,279.076666745879
0.954612,277.175592036444
0.9758256,275.292764120773
0.9970392,273.427990433421
1.0182528,271.581081223125
1.0394664,269.751849552783
1.06068,267.940111299473
1.0818936,266.145685154446
1.1031072,264.368392623122
1.1243208,262.608058025094
1.1455344,260.864508494135
1.166748,259.13757397818
1.1879616,257.427087239346
1.2091752,255.73288385392
1.2303888,254.05480221236
1.2516024,252.392683519295
1.272816,250.746371793536
1.2940296,249.115713868055
1.3152432,247.500559390008
1.3364568,245.900760820717
1.3576704,244.316173435678
1.378884,242.74665532456
1.4000976,241.192067391204
1.4213112,239.652273353628
1.4425248,238.127139744019
1.4637384,236.61653590874
1.484952,235.120334008321
1.5061656,233.638409017472
1.5273792,232.17063872507
1.5485928,230.716903734169
1.5698064,229.277087461994
1.59102,227.851076139945
1.6122336,226.43875881359
1.6334472,225.040027342676
1.6546608,223.654776401116
1.6758744,222.282903477002
1.697088,220.924308872599
1.7183016,219.57889570434
1.7395152,218.246569902833
1.7607288,216.927240212861
1.7819424,215.620818193376
1.803156,214.327218217505
1.8243696,213.046357472552
1.8455832,211.778155959985
1.8667968,210.522536495454
1.8880104,209.279424708774
1.909224,208.048749043937
1.9304376,206.830440759106
1.9516512,205.624433926624
1.9728648,204.430665432995
1.9940784,203.249074978906
2.015292,202.079605079211
2.0365056,200.922201062938
2.0577192,199.776811073288
2.0789328,198.643386067639
2.1001464,197.521879817535
2.12136,196.412248908699
2.1425736,195.314452741021
2.1637872,194.228453528571
2.1850008,193.154216299582
2.2062144,192.091708896471
2.227428,191.040901975822
2.2486416,190.001769008391
2.2698552,188.974286279109
2.2910688,187.958432887079
2.3122824,186.954190745576
2.333496,185.96154458205
2.3547096,184.980481938126
2.3759232,184.010993169595
2.3971368,183.053071446426
2.4183504,182.106712752759
2.439564,181.171915886909
2.4607776,180.248682461357
2.4819912,179.337016902771
2.5032048,178.436926451977
2.5244184,177.548421163981
2.545632,176.671513907962
2.5668456,175.806220367269
2.5880592,174.952559039425
2.6092728,174.11055123613
2.6304864,173.280221083252
2.6517,172.461595520832
2.6729136,171.991346684159
2.6941272,171.522661337457
2.7153408,171.055539111369
2.7365544,170.589979641621
2.757768,170.125982568978
2.7789816,169.66354753927
2.8001952,169.202674203393
2.8214088,168.743362217305
2.8426224,168.285611242009
2.863836,167.829420943596
2.8850496,167.374790993199
2.9062632,166.921721067011
2.9274768,166.470210846294
2.9486904,166.020260017369
2.969904,165.571868271612
2.9911176,165.125035305468
3.0123312,164.679760820441
3.0335448,164.23604452309
3.0547584,163.79388612504
3.075972,163.353285342979
3.0971856,162.914241898641
3.1183992,162.476755518848
3.1396128,162.040825935461
