"Distance [mm]","Mag_B [mTesla]"
0,0.0135947070682377
0.0150004,421.887976077057
0.0300008,421.88422167303
0.0450012,421.880375544133
0.0600016,421.87643769038
0.075002,421.872408111792
0.0900024,421.868286808387
0.1050028,421.864073780186
0.1200032,421.859769027209
0.1350036,421.855372549479
0.150004,421.850884347021
0.1650044,421.846304419859
0.1800048,421.841632768018
0.1950052,421.836869391527
0.2100056,421.832014290413
0.225006,421.827067464706
0.2400064,421.822028914434
0.2550068,421.816898639633
0.2700072,421.811676640331
0.2850076,421.806362916565
0.300008,421.800812352105
0.3150084,421.795092544771
0.3300088,421.789275435754
0.3450092,421.783361025227
0.3600096,421.777349313363
0.37501,421.771240300335
0.3900104,421.765033986317
0.4050108,421.758730371485
0.4200112,421.752329456013
0.4350116,421.745831240079
0.450012,421.739235723861
0.4650124,421.732542907536
0.4800128,421.725752791282
0.4950132,421.71886537528
0.5100136,421.711880659709
0.525014,421.704798644752
0.5400144,421.697619330589
0.5550148,421.690342717403
0.5700152,421.682968805378
0.5850156,421.675497594698
0.600016,421.667929085547
0.6150164,421.660263278111
0.6300168,421.652500172577
0.6450172,421.644639769132
0.6600176,421.636682067964
0.675018,421.62862706926
0.6900184,421.620474773211
0.7050188,421.612225180008
0.7200192,421.603878289839
0.7350196,421.595434102899
0.75002,421.586892619378
0.7650204,421.578253839471
0.7800208,421.56951776337
0.7950212,421.560684391271
0.8100216,421.548406622758
0.825022,421.536100965727
0.8400224,421.523776599164
0.8550228,421.51143352342
0.8700232,421.499071738856
0.8850236,421.48669124584
0.900024,421.474292044746
0.9150244,421.461874135959
0.9300248,421.449437519866
0.9450252,421.436982196868
0.9600256,421.424508167369
0.975026,421.412015431782
0.9900264,421.399503990528
1.0050268,421.386973844035
1.0200272,421.374424992741
1.0350276,421.361857437087
1.050028,421.349271177525
1.0650284,421.336666214514
1.0800288,421.32404254852
1.0950292,421.311400180017
1.1100296,421.298739109486
1.12503,421.286059337416
1.1400304,421.273360864306
1.1550308,421.260643690657
1.1700312,421.247907816983
1.1850316,421.235153243803
1.200032,421.222379971644
1.2150324,421.209588001041
1.2300328,421.196777332535
1.2450332,421.183947966678
1.2600336,421.171099904025
1.275034,421.158233145143
1.2900344,421.145347690604
1.3050348,421.132443540988
1.3200352,421.119520696883
1.3350356,421.106579158885
1.350036,421.093618927596
1.3650364,421.080640003628
1.3800368,421.067642387598
1.3950372,421.054626080132
1.4100376,421.041591081865
1.425038,421.028537393435
1.4400384,421.015465015492
1.4550388,421.002373948695
1.4700392,420.989264193703
1.4850396,420.976135751191
1.50004,420.962988621836
1.5150404,420.949822806326
1.5300408,420.936638305354
1.5450412,420.923435119623
1.5600416,420.910213249841
1.575042,420.896972696726
1.5900424,420.883713461003
1.6050428,420.870435543402
1.6200432,420.857138944665
1.6350436,420.84382366554
1.650044,420.830489706779
