"Distance [mm]","Mag_B [mTesla]"
0,0.0297017916117394
0.0259811,681.25220129448
0.0519622,676.737432444448
0.0779433,672.268791323778
0.1039244,667.846276711326
0.1299055,663.469887391142
0.1558866,659.139622152573
0.1818677,654.855479790132
0.2078488,650.617459103581
0.2338299,646.425558897937
0.259811,642.279777983422
0.2857921,638.180115175459
0.3117732,634.126569294767
0.3377543,630.119139167225
0.3637354,626.157823623976
0.3897165,622.24262150139
0.4156976,618.373531641075
0.4416787,614.550552889825
0.4676598,610.773684099715
0.4936409,607.042924128009
0.519622,603.358271837215
0.5456031,599.719726095077
0.5715842,596.127285774568
0.5975653,592.580949753859
0.6235464,589.080716916391
0.6495275,585.6265861508
0.6755086,582.218556350966
0.7014897,578.856626416001
0.7274708,575.540795250243
0.7534519,572.271061763262
0.779433,569.047424869831
0.8054141,565.86988348998
0.8313952,562.738436548959
0.8573763,559.653082977236
0.8833574,556.613821710534
0.9093385,553.620651689787
0.9353196,550.673571861145
0.9613007,547.772581176002
0.9872818,544.917678590981
1.0132629,542.108863067926
1.039244,539.346133573917
1.0652251,536.629489081273
1.0912062,533.958928567505
1.1171873,531.334451015385
1.1431684,528.756055412902
1.1691495,526.223740753273
1.1951306,523.737506034946
1.2211117,521.297350261613
1.2470928,518.903272442152
1.2730739,516.555271590715
1.299055,514.253346726653
1.3250361,511.997496874555
1.3510172,509.787721064242
1.3769983,507.624018330775
1.4029794,505.506387714402
1.4289605,503.434828260649
1.4549416,501.409339020234
1.4809227,499.429919049118
1.5069038,497.496567408494
1.5328849,495.609283164783
1.558866,493.768065389631
1.5848471,491.972913159907
1.6108282,490.223825557711
1.6368093,488.520801670374
1.6627904,486.863840590458
1.6887715,485.252941415755
1.7147526,483.688103249283
1.7407337,482.169325199281
1.7667148,480.696606379219
1.7926959,479.2699459078
1.818677,477.889342908961
1.8446581,476.554796511852
1.8706392,475.266305850872
1.8966203,474.023870065629
1.9226014,472.827488300963
1.9485825,471.677159706947
1.9745636,470.572883438888
2.0005447,469.51465865731
