"GeometryIds","Points:0","Points:1","Points:2","a","arc_length","current density:0","current density:1","current density:2","magnetic field strength:0","magnetic field strength:1","magnetic field strength:2","magnetic flux density:0","magnetic flux density:1","magnetic flux density:2","magnetic vector potential:0","magnetic vector potential:1","magnetic vector potential:2"
15,-0.015698,0.037117,0,-0.010208,0,0,0,0,4.406e+05,-1.0204e+06,0,0.55368,-1.2823,0,0,0,-0.010239
15,-0.015698,0.037117,0,-0.010208,2.0369e-14,0,0,0,4.406e+05,-1.0204e+06,0,0.55368,-1.2823,0,0,0,-0.010239
15,-0.015698,0.037117,0,-0.010208,4.0888e-14,0,0,0,4.406e+05,-1.0204e+06,0,0.55368,-1.2823,0,0,0,-0.010239
15,-0.015422,0.037232,0,-0.0097878,0.0002986,0,0,0,4.3238e+05,-1.0312e+06,0,0.54335,-1.2958,0,0,0,-0.009755
15,-0.015422,0.037232,0,-0.0097878,0.0002986,0,0,0,4.3238e+05,-1.0312e+06,0,0.54335,-1.2958,0,0,0,-0.009755
15,-0.015422,0.037232,0,-0.0097878,0.0002986,0,0,0,4.3238e+05,-1.0312e+06,0,0.54335,-1.2958,0,0,0,-0.009755
15,-0.015281,0.03729,0,-0.0095721,0.00045128,0,0,0,4.2939e+05,-1.0365e+06,0,0.53959,-1.3025,0,0,0,-0.0095113
16,-0.015146,0.037346,0,-0.009366,0.0005972,0,0,0,4.3672e+05,-1.0425e+06,0,0.54879,-1.31,0,0,0,-0.0093659
16,-0.015146,0.037346,0,-0.009366,0.0005972,0,0,0,4.3672e+05,-1.0425e+06,0,0.54879,-1.31,0,0,0,-0.0093659
16,-0.014869,0.037457,0,-0.0089418,0.0008958,0,0,0,4.3101e+05,-1.0514e+06,0,0.54162,-1.3212,0,0,0,-0.00894
16,-0.014869,0.037457,0,-0.0089418,0.0008958,0,0,0,4.3101e+05,-1.0514e+06,0,0.54162,-1.3212,0,0,0,-0.00894
16,-0.014591,0.037566,0,-0.0085155,0.0011944,0,0,0,4.2522e+05,-1.06e+06,0,0.53434,-1.3321,0,0,0,-0.0085118
16,-0.014591,0.037566,0,-0.0085155,0.0011944,0,0,0,4.2522e+05,-1.06e+06,0,0.53434,-1.3321,0,0,0,-0.0085118
15,-0.014521,0.037593,0,-0.0084089,0.0012687,0,0,0,4.1443e+05,-1.0604e+06,0,0.52079,-1.3326,0,0,0,-0.0083286
15,-0.014312,0.037673,0,-0.008087,0.001493,0,0,0,4.1021e+05,-1.0665e+06,0,0.51549,-1.3402,0,0,0,-0.0080091
15,-0.014312,0.037673,0,-0.008087,0.001493,0,0,0,4.1021e+05,-1.0665e+06,0,0.51549,-1.3402,0,0,0,-0.0080091
15,-0.014089,0.037757,0,-0.0077436,0.0017312,0,0,0,4.0563e+05,-1.0727e+06,0,0.50973,-1.348,0,0,0,-0.0076684
16,-0.014033,0.037778,0,-0.0076564,0.0017916,0,0,0,4.1318e+05,-1.0764e+06,0,0.51921,-1.3527,0,0,0,-0.0076491
16,-0.014033,0.037778,0,-0.0076564,0.0017916,0,0,0,4.1318e+05,-1.0764e+06,0,0.51921,-1.3527,0,0,0,-0.0076491
16,-0.013752,0.037881,0,-0.0072239,0.0020902,0,0,0,4.0709e+05,-1.0843e+06,0,0.51157,-1.3626,0,0,0,-0.0072147
16,-0.013752,0.037881,0,-0.0072239,0.0020902,0,0,0,4.0709e+05,-1.0843e+06,0,0.51157,-1.3626,0,0,0,-0.0072147
15,-0.013726,0.03789,0,-0.0071834,0.0021181,0,0,0,3.9803e+05,-1.0828e+06,0,0.50018,-1.3606,0,0,0,-0.0071125
15,-0.013471,0.037982,0,-0.0067895,0.0023888,0,0,0,3.9278e+05,-1.0897e+06,0,0.49359,-1.3694,0,0,0,-0.0067217
15,-0.013471,0.037982,0,-0.0067895,0.0023888,0,0,0,3.9278e+05,-1.0897e+06,0,0.49359,-1.3694,0,0,0,-0.0067217
15,-0.013194,0.038079,0,-0.0063604,0.0026824,0,0,0,3.8718e+05,-1.0969e+06,0,0.48654,-1.3784,0,0,0,-0.0062959
16,-0.013189,0.038081,0,-0.0063531,0.0026874,0,0,0,3.9485e+05,-1.0995e+06,0,0.49618,-1.3817,0,0,0,-0.0063403
16,-0.013189,0.038081,0,-0.0063531,0.0026874,0,0,0,3.9485e+05,-1.0995e+06,0,0.49618,-1.3817,0,0,0,-0.0063403
16,-0.012907,0.038177,0,-0.0059149,0.002986,0,0,0,3.8877e+05,-1.1068e+06,0,0.48854,-1.3908,0,0,0,-0.0059003
16,-0.012907,0.038177,0,-0.0059149,0.002986,0,0,0,3.8877e+05,-1.1068e+06,0,0.48854,-1.3908,0,0,0,-0.0059003
15,-0.012726,0.038238,0,-0.0056336,0.0031769,0,0,0,3.7783e+05,-1.1085e+06,0,0.47479,-1.393,0,0,0,-0.0055747
15,-0.012624,0.038272,0,-0.005475,0.0032846,0,0,0,3.7587e+05,-1.1111e+06,0,0.47233,-1.3962,0,0,0,-0.0054173
15,-0.012624,0.038272,0,-0.005475,0.0032846,0,0,0,3.7587e+05,-1.1111e+06,0,0.47233,-1.3962,0,0,0,-0.0054173
15,-0.012539,0.038299,0,-0.0053432,0.0033737,0,0,0,3.7436e+05,-1.1129e+06,0,0.47044,-1.3985,0,0,0,-0.0052865
16,-0.01234,0.038364,0,-0.0050333,0.0035832,0,0,0,3.7693e+05,-1.1199e+06,0,0.47366,-1.4073,0,0,0,-0.0050152
16,-0.01234,0.038364,0,-0.0050333,0.0035832,0,0,0,3.7693e+05,-1.1199e+06,0,0.47366,-1.4073,0,0,0,-0.0050152
15,-0.012251,0.038393,0,-0.0048947,0.0036766,0,0,0,3.6959e+05,-1.1191e+06,0,0.46444,-1.4064,0,0,0,-0.0048413
15,-0.012055,0.038455,0,-0.0045902,0.0038818,0,0,0,3.6688e+05,-1.1232e+06,0,0.46104,-1.4115,0,0,0,-0.0045389
15,-0.012055,0.038455,0,-0.0045902,0.0038818,0,0,0,3.6688e+05,-1.1232e+06,0,0.46104,-1.4115,0,0,0,-0.0045389
15,-0.011849,0.038518,0,-0.0042694,0.0040973,0,0,0,3.6547e+05,-1.1261e+06,0,0.45927,-1.4151,0,0,0,-0.0042203
16,-0.01177,0.038543,0,-0.0041458,0.0041804,0,0,0,3.6695e+05,-1.1286e+06,0,0.46112,-1.4182,0,0,0,-0.004125
16,-0.01177,0.038543,0,-0.0041458,0.0041804,0,0,0,3.6695e+05,-1.1286e+06,0,0.46112,-1.4182,0,0,0,-0.004125
15,-0.011643,0.038581,0,-0.0039481,0.0043131,0,0,0,3.6711e+05,-1.1283e+06,0,0.46133,-1.4179,0,0,0,-0.0039005
15,-0.011484,0.038629,0,-0.0037009,0.004479,0,0,0,3.6984e+05,-1.1297e+06,0,0.46475,-1.4196,0,0,0,-0.0036544
15,-0.011484,0.038629,0,-0.0037009,0.004479,0,0,0,3.6984e+05,-1.1297e+06,0,0.46475,-1.4196,0,0,0,-0.0036544
15,-0.01129,0.038686,0,-0.0034008,0.0046808,0,0,0,3.8186e+05,-1.1248e+06,0,0.47986,-1.4135,0,0,0,-0.0033543
16,-0.011197,0.038713,0,-0.003257,0.0047776,0,0,0,3.68e+05,-1.1134e+06,0,0.46244,-1.3991,0,0,0,-0.0032376
16,-0.011197,0.038713,0,-0.003257,0.0047776,0,0,0,3.68e+05,-1.1134e+06,0,0.46244,-1.3991,0,0,0,-0.0032376
15,-0.011105,0.03874,0,-0.0031156,0.0048737,0,0,0,4.0597e+05,-1.1157e+06,0,0.51016,-1.402,0,0,0,-0.0030673
15,-0.01091,0.038795,0,-0.002818,0.0050762,0,0,0,4.4463e+05,-1.1014e+06,0,0.55874,-1.3841,0,0,0,-0.002766
15,-0.01091,0.038795,0,-0.002818,0.0050762,0,0,0,4.4463e+05,-1.1014e+06,0,0.55874,-1.3841,0,0,0,-0.002766
15,-0.010623,0.038875,0,-0.0023955,0.0053748,0,0,0,6.2001e+05,-1.0133e+06,0,0.77912,-1.2734,0,0,0,-0.0023235
15,-0.010623,0.038875,0,-0.0023955,0.0053748,0,0,0,6.2001e+05,-1.0133e+06,0,0.77912,-1.2734,0,0,0,-0.0023235
15,-0.010334,0.038952,0,-0.0020375,0.0056734,0,0,0,5.9761e+05,-6.0687e+05,0,0.75098,-0.76261,0,0,0,-0.0019698
15,-0.010334,0.038952,0,-0.0020375,0.0056734,0,0,0,5.9761e+05,-6.0687e+05,0,0.75098,-0.76261,0,0,0,-0.0019698
15,-0.010045,0.039028,0,-0.0017838,0.005972,0,0,0,4.0496e+05,-4.5908e+05,0,0.50889,-0.5769,0,0,0,-0.0017384
15,-0.010045,0.039028,0,-0.0017838,0.005972,0,0,0,4.0496e+05,-4.5908e+05,0,0.50889,-0.5769,0,0,0,-0.0017384
