"GeometryIds","Points:0","Points:1","Points:2","a","arc_length","magnetic field strength:0","magnetic field strength:1","magnetic field strength:2","magnetic flux density:0","magnetic flux density:1","magnetic flux density:2","magnetic vector potential:0","magnetic vector potential:1","magnetic vector potential:2"
10,-0.010595,-0.0017472,0,-0.00086566,0,3.8446e+05,60916,0,0.48312,0.076549,0,0,0,-0.00086517
10,-0.010612,-0.0016367,0,-0.00081062,0.00011184,3.8654e+05,56537,0,0.48574,0.071046,0,0,0,-0.00080947
10,-0.010614,-0.0016281,0,-0.00080634,0.00012061,3.8672e+05,56270,0,0.48597,0.07071,0,0,0,-0.00080519
10,-0.010629,-0.0015224,0,-0.00075369,0.00022741,3.879e+05,53516,0,0.48745,0.06725,0,0,0,-0.00075282
10,-0.010631,-0.0015123,0,-0.00074867,0.00023765,3.8807e+05,53364,0,0.48766,0.06706,0,0,0,-0.00074753
10,-0.010645,-0.0014072,0,-0.00069635,0.00034366,3.8865e+05,51483,0,0.48839,0.064695,0,0,0,-0.00069625
10,-0.010647,-0.001397,0,-0.00069127,0.00035399,3.887e+05,51346,0,0.48846,0.064523,0,0,0,-0.00069139
10,-0.01066,-0.0012897,0,-0.00063791,0.00046211,3.8908e+05,49705,0,0.48893,0.062462,0,0,0,-0.00063812
10,-0.010661,-0.0012801,0,-0.00063316,0.00047178,3.8906e+05,49537,0,0.48891,0.06225,0,0,0,-0.00063306
10,-0.010674,-0.0011734,0,-0.00058006,0.00057925,3.8938e+05,46724,0,0.4893,0.058715,0,0,0,-0.00057775
10,-0.010675,-0.0011627,0,-0.00057478,0.00059001,3.8931e+05,46418,0,0.48922,0.05833,0,0,0,-0.000573
10,-0.010686,-0.0010542,0,-0.00052087,0.00069907,3.9025e+05,42252,0,0.4904,0.053096,0,0,0,-0.00051895
10,-0.010687,-0.001048,0,-0.00051783,0.00070527,3.9022e+05,41869,0,0.49036,0.052614,0,0,0,-0.00051576
